"state","year","pop","estimated_deaths","completeness_births","completeness_deaths"
"A & N Islands",2015,546000,2730,0.7929999999999999,0.792
"A & N Islands",2016,554000,2881,0.7559999999999999,0.816
"A & N Islands",2017,567000,2892,0.728,0.7390000000000001
"A & N Islands",2018,579000,3069,0.718,0.7290000000000001
"A & N Islands",2019,398000,2109,1,1
"Andhra Pradesh",2015,51523000,365813,0.9840000000000001,0.8490000000000001
"Andhra Pradesh",2016,51931000,353128,0.9570000000000001,0.887
"Andhra Pradesh",2017,52320000,376704,0.965,0.9440000000000001
"Andhra Pradesh",2018,52701000,353100,0.902,1
"Andhra Pradesh",2019,52315000,350511,0.902,1
"Arunachal Pradesh",2015,1303000,7818,1,0.466
"Arunachal Pradesh",2016,1318000,8172,1,0.317
"Arunachal Pradesh",2017,1331000,8119,1,0.36200000000000004
"Arunachal Pradesh",2018,1345000,8070,1,0.478
"Arunachal Pradesh",2019,1507000,9042,1,0.386
"Assam",2015,32196000,228592,1,0.511
"Assam",2016,32577000,218266,1,0.598
"Assam",2017,32931000,214052,1,0.659
"Assam",2018,33286000,213030,1,0.669
"Assam",2019,34418000,220275,1,0.74
"Bihar",2015,103138000,639456,0.648,0.319
"Bihar",2016,104303000,625818,0.607,0.28300000000000003
"Bihar",2017,105452000,611622,0.737,0.42700000000000005
"Bihar",2018,106570000,618106,0.8029999999999999,0.34600000000000003
"Bihar",2019,120114000,696661,0.893,0.516
"Chandigarh",2015,1742000,7665,1,1
"Chandigarh",2016,1801000,8105,1,1
"Chandigarh",2017,1887000,8492,1,1
"Chandigarh",2018,1969000,8467,1,1
"Chandigarh",2019,1184000,5091,1,1
"Chhattisgarh",2015,25663000,192473,1,0.873
"Chhattisgarh",2016,25988000,192311,1,0.9520000000000001
"Chhattisgarh",2017,26289000,197168,1,0.888
"Chhattisgarh",2018,26589000,212712,0.953,0.835
"Chhattisgarh",2019,28852000,230816,0.8590000000000001,0.815
"D & N Haveli",2015,418000,1630,0.737,0.9490000000000001
"D & N Haveli",2016,425000,1700,0.862,1
"D & N Haveli",2017,442000,1945,0.914,1
"D & N Haveli",2018,457000,1737,0.9,1
"D & N Haveli",2019,556000,2113,0.764,1
"Daman & Diu",2015,321000,1509,0.7879999999999999,0.7809999999999999
"Daman & Diu",2016,334000,1536,0.499,0.8140000000000001
"Daman & Diu",2017,349000,1640,0.579,0.693
"Daman & Diu",2018,364000,1638,0.5670000000000001,0.7140000000000001
"Daman & Diu",2019,423000,1904,0.507,0.61
"Delhi",2015,20875000,75150,1,1
"Delhi",2016,21492000,85968,1,1
"Delhi",2017,22104000,81785,1,1
"Delhi",2018,22736000,75029,1,1
"Delhi",2019,19940000,65802,1,1
"Goa",2015,1965000,12576,0.871,1
"Goa",2016,1985000,13300,0.8440000000000001,0.987
"Goa",2017,2038000,12636,0.804,1
"Goa",2018,2084000,12296,0.7909999999999999,1
"Goa",2019,1543000,9104,1,1
"Gujarat",2015,62334000,380237,0.987,1
"Gujarat",2016,63075000,384758,0.988,1
"Gujarat",2017,63769000,395368,0.919,0.982
"Gujarat",2018,64454000,380279,0.92,1
"Gujarat",2019,68245000,402646,0.873,1
"Haryana",2015,27215000,166012,1,1
"Haryana",2016,27612000,162911,0.9990000000000001,1
"Haryana",2017,27999000,162394,0.932,1
"Haryana",2018,28383000,167460,0.94,1
"Haryana",2019,28807000,169961,0.9059999999999999,1
"Himachal Pradesh",2015,7057000,46576,1,0.89
"Himachal Pradesh",2016,7115000,48382,0.892,0.74
"Himachal Pradesh",2017,7170000,47322,0.894,0.8270000000000001
"Himachal Pradesh",2018,7224000,49846,0.856,0.8390000000000001
"Himachal Pradesh",2019,7315000,50474,0.825,0.8640000000000001
"India",2015,1259108000,8184202,0.883,0.7659999999999999
"India",2016,1273986000,8153510,0.86,0.7809999999999999
"India",2017,1288522000,8117689,0.8490000000000001,0.7959999999999999
"India",2018,1302896000,8077955,0.893,0.86
"India",2019,1338995000,8301769,0.927,0.92
"Jammu & Kashmir",2015,12335000,60442,0.763,0.604
"Jammu & Kashmir",2016,12463000,62315,0.7759999999999999,0.585
"Jammu & Kashmir",2017,12587000,60418,0.7879999999999999,0.615
"Jammu & Kashmir",2018,12706000,62259,0.785,0.633
"Jammu & Kashmir",2019,13531000,66302,0.746,0.667
"Jharkhand",2015,33351000,193436,0.883,0.701
"Jharkhand",2016,33803000,185917,0.902,0.703
"Jharkhand",2017,34210000,188155,0.9009999999999999,0.619
"Jharkhand",2018,34621000,186953,0.856,0.5489999999999999
"Jharkhand",2019,37581000,202937,0.843,0.588
"Karnataka",2015,61992000,409147,0.9490000000000001,0.9620000000000001
"Karnataka",2016,62568000,419206,1,1
"Karnataka",2017,63092000,410098,1,1
"Karnataka",2018,63610000,400743,0.94,1
"Karnataka",2019,65973000,415630,0.9229999999999999,1
"Kerala",2015,35545000,234597,0.981,1
"Kerala",2016,35745000,271662,0.971,0.943
"Kerala",2017,35939000,244385,0.987,1
"Kerala",2018,36125000,249263,0.972,1
"Kerala",2019,35186000,242783,0.982,1
"Lakshadweep",2015,80000,496,0.696,0.726
"Lakshadweep",2016,82000,492,0.545,0.652
"Lakshadweep",2017,82000,533,0.669,0.659
"Lakshadweep",2018,83000,465,0.6459999999999999,0.6759999999999999
"Lakshadweep",2019,68000,381,0.91,0.882
"Madhya Pradesh",2015,77125000,578438,0.773,0.5379999999999999
"Madhya Pradesh",2016,78255000,555611,0.746,0.609
"Madhya Pradesh",2017,79331000,539451,0.746,0.687
"Madhya Pradesh",2018,80404000,538707,0.752,0.7879999999999999
"Madhya Pradesh",2019,82613000,553507,0.7879999999999999,0.8909999999999999
"Maharashtra",2015,119143000,691029,1,0.975
"Maharashtra",2016,120554000,711269,0.94,0.937
"Maharashtra",2017,121991000,695349,0.945,0.9309999999999999
"Maharashtra",2018,123401000,678706,0.9,0.9840000000000001
"Maharashtra",2019,122533000,673932,0.914,1
"Manipur",2015,2573000,10292,1,0.34
"Manipur",2016,2601000,11705,1,0.299
"Manipur",2017,2628000,13928,1,0.297
"Manipur",2018,2655000,11948,1,0.375
"Manipur",2019,3111000,14000,0.677,0.214
"Meghalaya",2015,2753000,20372,1,0.782
"Meghalaya",2016,2784000,18374,1,0.867
"Meghalaya",2017,2813000,17159,1,0.8029999999999999
"Meghalaya",2018,2841000,16478,1,0.897
"Meghalaya",2019,3232000,18746,1,0.976
"Mizoram",2015,1055000,4431,1,1
"Mizoram",2016,1067000,4481,1,1
"Mizoram",2017,1078000,4312,1,1
"Mizoram",2018,1089000,4465,1,1
"Mizoram",2019,1195000,4900,1,1
"Nagaland",2015,2362000,7086,1,0.292
"Nagaland",2016,2389000,10751,1,0.19899999999999998
"Nagaland",2017,2413000,8687,1,0.21100000000000002
"Nagaland",2018,2438000,8533,1,0.09699999999999999
"Nagaland",2019,2155000,7543,1,0.3
"Odisha",2015,42252000,321115,0.961,1
"Odisha",2016,42593000,332225,0.975,1
"Odisha",2017,42918000,317593,0.882,1
"Odisha",2018,43240000,315652,0.86,1
"Odisha",2019,45119000,329369,0.8220000000000001,1
"Puducherry",2015,1645000,11186,1,1
"Puducherry",2016,1683000,12118,1,1
"Puducherry",2017,1755000,12812,1,1
"Puducherry",2018,1821000,12565,1,1
"Puducherry",2019,1515000,10454,1,1
"Punjab",2015,28940000,179428,0.992,1
"Punjab",2016,29201000,175206,1,1
"Punjab",2017,29460000,206220,0.951,1
"Punjab",2018,29709000,196079,0.917,1
"Punjab",2019,29939000,197597,0.883,1
"Rajasthan",2015,72311000,455559,0.987,0.899
"Rajasthan",2016,73276000,446984,1,0.9329999999999999
"Rajasthan",2017,74253000,445518,0.9440000000000001,0.953
"Rajasthan",2018,75207000,443721,0.966,0.9990000000000001
"Rajasthan",2019,77601000,457846,0.9640000000000001,0.986
"Sikkim",2015,642000,3210,0.722,1
"Sikkim",2016,649000,3050,0.662,1
"Sikkim",2017,656000,2952,0.662,1
"Sikkim",2018,662000,2979,0.652,1
"Sikkim",2019,665000,2993,0.612,1
"Tamil Nadu",2015,69156000,463345,1,1
"Tamil Nadu",2016,69518000,444915,1,1
"Tamil Nadu",2017,69842000,467941,0.912,1
"Tamil Nadu",2018,70153000,455995,0.888,1
"Tamil Nadu",2019,75813000,492785,0.8440000000000001,1
"Telangana",2015,36377000,236451,0.946,0.816
"Telangana",2016,36665000,223659,0.973,0.9159999999999999
"Telangana",2017,36940000,243804,0.972,0.732
"Telangana",2018,37210000,234420,1,0.5820000000000001
"Telangana",2019,37283000,234883,1,0.972
"Tripura",2015,3798000,19750,0.93,0.514
"Tripura",2016,3840000,21120,0.8240000000000001,0.494
"Tripura",2017,3880000,20176,1,1
"Tripura",2018,3920000,21560,1,1
"Tripura",2019,4002000,22011,1,1
"Uttar Pradesh",2015,215835000,1554012,0.674,0.442
"Uttar Pradesh",2016,219239000,1512749,0.607,0.402
"Uttar Pradesh",2017,222608000,1491474,0.615,0.38299999999999995
"Uttar Pradesh",2018,225960000,1491336,0.8009999999999999,0.608
"Uttar Pradesh",2019,225967000,1491382,0.887,0.633
"Uttarakhand",2015,10544000,67482,1,0.654
"Uttarakhand",2016,10677000,71536,1,0.674
"Uttarakhand",2017,10804000,72387,0.878,0.469
"Uttarakhand",2018,10930000,67766,1,0.7070000000000001
"Uttarakhand",2019,11184000,69341,1,0.956
"West Bengal",2015,92995000,548671,0.9279999999999999,0.735
"West Bengal",2016,93827000,544197,0.9790000000000001,0.8190000000000001
"West Bengal",2017,94597000,548663,0.917,0.807
"West Bengal",2018,95368000,534061,1,0.9179999999999999
"West Bengal",2019,97109000,543810,1,1
