iso3 ,year,month,sex,val
LKA,2018,1,T,13150
LKA,2018,1,M,7292
LKA,2018,1,F,5858
LKA,2018,1,U,0
LKA,2018,2,T,11250
LKA,2018,2,M,6325
LKA,2018,2,F,4925
LKA,2018,2,U,0
LKA,2018,3,T,11762
LKA,2018,3,M,6445
LKA,2018,3,F,5317
LKA,2018,3,U,0
LKA,2018,4,T,10527
LKA,2018,4,M,5762
LKA,2018,4,F,4765
LKA,2018,4,U,0
LKA,2018,5,T,11855
LKA,2018,5,M,6517
LKA,2018,5,F,5338
LKA,2018,5,U,0
LKA,2018,6,T,11696
LKA,2018,6,M,6567
LKA,2018,6,F,5129
LKA,2018,6,U,0
LKA,2018,7,T,12140
LKA,2018,7,M,6672
LKA,2018,7,F,5468
LKA,2018,7,U,0
LKA,2018,8,T,11471
LKA,2018,8,M,6388
LKA,2018,8,F,5083
LKA,2018,8,U,0
LKA,2018,9,T,10242
LKA,2018,9,M,5658
LKA,2018,9,F,4584
LKA,2018,9,U,0
LKA,2018,10,T,11272
LKA,2018,10,M,6233
LKA,2018,10,F,5039
LKA,2018,10,U,0
LKA,2018,11,T,11667
LKA,2018,11,M,6490
LKA,2018,11,F,5177
LKA,2018,11,U,0
LKA,2018,12,T,12466
LKA,2018,12,M,6962
LKA,2018,12,F,5504
LKA,2018,12,U,0
LKA,2019,1,T,13113
LKA,2019,1,M,7280
LKA,2019,1,F,5833
LKA,2019,1,U,0
LKA,2019,2,T,11349
LKA,2019,2,M,6298
LKA,2019,2,F,5051
LKA,2019,2,U,0
LKA,2019,3,T,12354
LKA,2019,3,M,6715
LKA,2019,3,F,5639
LKA,2019,3,U,0
LKA,2019,4,T,11685
LKA,2019,4,M,6249
LKA,2019,4,F,5436
LKA,2019,4,U,0
LKA,2019,5,T,12995
LKA,2019,5,M,7133
LKA,2019,5,F,5862
LKA,2019,5,U,0
LKA,2019,6,T,11355
LKA,2019,6,M,6305
LKA,2019,6,F,5050
LKA,2019,6,U,0
LKA,2019,7,T,12018
LKA,2019,7,M,6465
LKA,2019,7,F,5553
LKA,2019,7,U,0
LKA,2019,8,T,11392
LKA,2019,8,M,6181
LKA,2019,8,F,5211
LKA,2019,8,U,0
LKA,2019,9,T,11345
LKA,2019,9,M,6218
LKA,2019,9,F,5127
LKA,2019,9,U,0
LKA,2019,10,T,12340
LKA,2019,10,M,6629
LKA,2019,10,F,5711
LKA,2019,10,U,0
LKA,2019,11,T,12596
LKA,2019,11,M,6842
LKA,2019,11,F,5754
LKA,2019,11,U,0
LKA,2019,12,T,13514
LKA,2019,12,M,7413
LKA,2019,12,F,6101
LKA,2019,12,U,0
LKA,2020,1,T,13254
LKA,2020,1,M,7376
LKA,2020,1,F,5878
LKA,2020,1,U,0
LKA,2020,2,T,11686
LKA,2020,2,M,6300
LKA,2020,2,F,5386
LKA,2020,2,U,0
LKA,2020,3,T,9005
LKA,2020,3,M,4813
LKA,2020,3,F,4192
LKA,2020,3,U,0
LKA,2020,4,T,7158
LKA,2020,4,M,3784
LKA,2020,4,F,3374
LKA,2020,4,U,0
LKA,2020,5,T,12254
LKA,2020,5,M,6858
LKA,2020,5,F,5396
LKA,2020,5,U,0
LKA,2020,6,T,12900
LKA,2020,6,M,7085
LKA,2020,6,F,5815
LKA,2020,6,U,0
LKA,2020,7,T,11782
LKA,2020,7,M,6539
LKA,2020,7,F,5243
LKA,2020,7,U,0
LKA,2020,8,T,11472
LKA,2020,8,M,6326
LKA,2020,8,F,5146
LKA,2020,8,U,0
LKA,2020,9,T,11440
LKA,2020,9,M,6217
LKA,2020,9,F,5223
LKA,2020,9,U,0
LKA,2020,10,T,10251
LKA,2020,10,M,5637
LKA,2020,10,F,4614
LKA,2020,10,U,0
LKA,2020,11,T,9797
LKA,2020,11,M,5417
LKA,2020,11,F,4380
LKA,2020,11,U,0
LKA,2020,12,T,11432
LKA,2020,12,M,6522
LKA,2020,12,F,4910
LKA,2020,12,U,0
LKA,2021,1,T,12442
LKA,2021,1,M,6970
LKA,2021,1,F,5472
LKA,2021,1,U,0
LKA,2021,2,T,11965
LKA,2021,2,M,6633
LKA,2021,2,F,5332
LKA,2021,2,U,0
LKA,2021,3,T,12851
LKA,2021,3,M,7147
LKA,2021,3,F,5704
LKA,2021,3,U,0
LKA,2021,4,T,11870
LKA,2021,4,M,6738
LKA,2021,4,F,5132
LKA,2021,4,U,0
LKA,2021,5,T,9255
LKA,2021,5,M,5126
LKA,2021,5,F,4129
LKA,2021,5,U,0
LKA,2021,6,T,12128
LKA,2021,6,M,6673
LKA,2021,6,F,5455
LKA,2021,6,U,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
