Location,locn
Armenia,1
Azerbaijan,2
Georgia,3
Kazakhstan,4
Kyrgyzstan,5
Mongolia,6
Tajikistan,7
Turkmenistan,8
Uzbekistan,9
Albania,10
Bosnia and Herzegovina,11
Bulgaria,12
Croatia,13
Czech Republic,14
Hungary,15
Montenegro,16
North Macedonia,17
Poland,18
Romania,19
Serbia,20
Slovakia,21
Slovenia,22
Belarus,23
Estonia,24
Latvia,25
Lithuania,26
Moldova,27
Russia,28
Ukraine,29
Australia,30
New Zealand,31
Brunei,32
Japan,33
South Korea,34
Singapore,35
Canada,36
Greenland,37
USA,38
Argentina,39
Chile,40
Uruguay,41
Andorra,42
Austria,43
Belgium,44
Cyprus,45
Denmark,46
Finland,47
France,48
Germany,49
Greece,50
Iceland,51
Ireland,52
Israel,53
Italy,54
Luxembourg,55
Malta,56
Monaco,57
Netherlands,58
Norway,59
Portugal,60
San Marino,61
Spain,62
Sweden,63
Switzerland,64
UK,65
Bolivia,66
Ecuador,67
Peru,68
Antigua and Barbuda,69
The Bahamas,70
Barbados,71
Belize,72
Bermuda,73
Cuba,74
Dominica,75
Dominican Republic,76
Grenada,77
Guyana,78
Haiti,79
Jamaica,80
Puerto Rico,81
Saint Kitts and Nevis,82
Saint Lucia,83
Saint Vincent and the Grenadines,84
Suriname,85
Trinidad and Tobago,86
Virgin Islands,87
Colombia,88
Costa Rica,89
El Salvador,90
Guatemala,91
Honduras,92
Mexico,93
Nicaragua,94
Panama,95
Venezuela,96
Brazil,97
Paraguay,98
Afghanistan,99
Algeria,100
Bahrain,101
Egypt,102
Iran,103
Iraq,104
Jordan,105
Kuwait,106
Lebanon,107
Libya,108
Morocco,109
Oman,110
Palestine,111
Qatar,112
Saudi Arabia,113
Sudan,114
Syria,115
Tunisia,116
Turkey,117
United Arab Emirates,118
Yemen,119
Bangladesh,120
Bhutan,121
India,122
Nepal,123
Pakistan,124
China,125
North Korea,126
Taiwan (province of China),127
American Samoa,128
Cook Islands,129
Fiji,130
Guam,131
Kiribati,132
Marshall Islands,133
Federated States of Micronesia,134
Nauru,135
Niue,136
Northern Mariana Islands,137
Palau,138
Papua New Guinea,139
Samoa,140
Solomon Islands,141
Tokelau,142
Tonga,143
Tuvalu,144
Vanuatu,145
Cambodia,146
Indonesia,147
Laos,148
Malaysia,149
Maldives,150
Mauritius,151
Myanmar,152
Philippines,153
Seychelles,154
Sri Lanka,155
Thailand,156
Timor-Leste,157
Vietnam,158
Angola,159
Central African Republic,160
Congo (Brazzaville),161
DR Congo,162
Equatorial Guinea,163
Gabon,164
Burundi,165
Comoros,166
Djibouti,167
Eritrea,168
Ethiopia,169
Kenya,170
Madagascar,171
Malawi,172
Mozambique,173
Rwanda,174
Somalia,175
South Sudan,176
Uganda,177
Tanzania,178
Zambia,179
Botswana,180
eSwatini,181
Lesotho,182
Namibia,183
South Africa,184
Zimbabwe,185
Benin,186
Burkina Faso,187
Cape Verde,188
Cameroon,189
Chad,190
Côte d'Ivoire,191
The Gambia,192
Ghana,193
Guinea,194
Guinea-Bissau,195
Liberia,196
Mali,197
Mauritania,198
Niger,199
Nigeria,200
São Tomé and PrÍncipe,201
Senegal,202
Sierra Leone,203
Togo,204
